year month day hour kwh cumulated_kwh
2015 1 23 5 95 857645
2015 1 23 6 91 857736
2015 1 23 7 88 857824
2015 1 23 8 82 857906
2015 1 23 9 82 857988
2015 1 23 10 71 858059
2015 1 23 11 66 858125
2015 1 23 12 59 858184
2015 1 23 13 53 858237
2015 1 23 14 51 858288
2015 1 23 15 56 858344
2015 1 23 16 56 858400
2015 1 23 17 61 858461
2015 1 23 18 60 858521
2015 1 23 19 58 858579
2015 1 23 20 56 858635
2015 1 23 21 59 858694
2015 1 23 22 49 858743
2015 1 23 23 47 858790
2015 1 24 0 38 858828
2015 1 24 1 36 858864
2015 1 24 2 32 858896
2015 1 24 3 32 858928
2015 1 24 4 30 858958
2015 1 24 5 32 858990
2015 1 24 6 31 859021
2015 1 24 7 32 859053
2015 1 24 8 29 859082
2015 1 24 9 24 859106
2015 1 24 10 19 859125
2015 1 24 11 18 859143
2015 1 24 12 16 859159
2015 1 24 13 13 859172
2015 1 24 14 14 859186
2015 1 24 15 11 859197
2015 1 24 16 12 859209
2015 1 24 17 12 859221
2015 1 24 18 11 859232
2015 1 24 19 16 859248
2015 1 24 20 17 859265
2015 1 24 21 20 859285
2015 1 24 22 23 859308
2015 1 24 23 31 859339
2015 1 25 0 45 859384
2015 1 25 1 36 859420
2015 1 25 2 31 859451
2015 1 25 3 31 859482
2015 1 25 4 33 859515
2015 1 25 5 38 859553
2015 1 25 6 39 859592
2015 1 25 7 38 859630
2015 1 25 8 42 859672
2015 1 25 9 54 859726
2015 1 25 10 60 859786
2015 1 25 11 63 859849
2015 1 25 12 67 859916
2015 1 25 13 74 859990
2015 1 25 14 69 860059
2015 1 25 15 76 860135
2015 1 25 16 80 860215
2015 1 25 17 92 860307
2015 1 25 18 99 860406
2015 1 25 19 94 860500
2015 1 25 20 98 860598
2015 1 25 21 98 860696
2015 1 25 22 96 860792
2015 1 25 23 93 860885
2015 1 26 0 88 860973
2015 1 26 1 80 861053
2015 1 26 2 78 861131
2015 1 26 3 73 861204
2015 1 26 4 75 861279
2015 1 26 5 76 861355
2015 1 26 6 77 861432
2015 1 26 7 80 861512
2015 1 26 8 70 861582
2015 1 26 9 66 861648
2015 1 26 10 58 861706
2015 1 26 11 52 861758
2015 1 26 12 56 861814
2015 1 26 13 49 861863
2015 1 26 14 42 861905
2015 1 26 15 39 861944
2015 1 26 16 37 861981
2015 1 26 17 41 862022
2015 1 26 18 37 862059
2015 1 26 19 32 862091
2015 1 26 20 33 862124
2015 1 26 21 31 862155
2015 1 26 22 22 862177
2015 1 26 23 22 862199
2015 1 27 0 22 862221
2015 1 27 1 20 862241
2015 1 27 2 16 862257
2015 1 27 3 17 862274
2015 1 27 4 16 862290
2015 1 27 5 17 862307
2015 1 27 6 28 862335
2015 1 27 7 31 862366
2015 1 27 8 37 862403
2015 1 27 9 35 862438
2015 1 27 10 36 862474
2015 1 27 11 33 862507
2015 1 27 12 38 862545
2015 1 27 13 41 862586
2015 1 27 14 44 862630
2015 1 27 15 46 862676
2015 1 27 16 47 862723
2015 1 27 17 49 862772
2015 1 27 18 49 862821
2015 1 27 19 49 862870
2015 1 27 20 50 862920
2015 1 27 21 48 862968
2015 1 27 22 50 863018
2015 1 27 23 57 863075
2015 1 28 0 67 863142
2015 1 28 1 65 863207
2015 1 28 2 62 863269
2015 1 28 3 67 863336
2015 1 28 4 67 863403
2015 1 28 5 66 863469
2015 1 28 6 59 863528
2015 1 28 7 62 863590
2015 1 28 8 65 863655
2015 1 28 9 61 863716
2015 1 28 10 59 863775
2015 1 28 11 61 863836
2015 1 28 12 53 863889
2015 1 28 13 56 863945
2015 1 28 14 56 864001
2015 1 28 15 62 864063
2015 1 28 16 56 864119
2015 1 28 17 54 864173
2015 1 28 18 49 864222
2015 1 28 19 49 864271
2015 1 28 20 48 864319
2015 1 28 21 52 864371
2015 1 28 22 56 864427
2015 1 28 23 67 864494
2015 1 29 0 55 864549
2015 1 29 1 54 864603
2015 1 29 2 49 864652
2015 1 29 3 49 864701
2015 1 29 4 46 864747
2015 1 29 5 46 864793
2015 1 29 6 50 864843
2015 1 29 7 55 864898
2015 1 29 8 57 864955
2015 1 29 9 65 865020
2015 1 29 10 74 865094
2015 1 29 11 73 865167
2015 1 29 12 78 865245
2015 1 29 13 83 865328
2015 1 29 14 81 865409
2015 1 29 15 85 865494
2015 1 29 16 81 865575
2015 1 29 17 83 865658
2015 1 29 18 80 865738
2015 1 29 19 81 865819
2015 1 29 20 80 865899
2015 1 29 21 56 865955
2015 1 29 22 36 865991
2015 1 29 23 29 866020
2015 1 30 0 22 866042
2015 1 30 1 15 866057
2015 1 30 2 7 866064
2015 1 30 3 7 866071
2015 1 30 4 16 866087
2015 1 30 5 17 866104
2015 1 30 6 27 866131
2015 1 30 7 63 866194
2015 1 30 8 65 866259
2015 1 30 9 67 866326
2015 1 30 10 61 866387
2015 1 30 11 32 866419
2015 1 30 12 13 866432
2015 1 30 13 3 866435
2015 1 30 14 7 866442
2015 1 30 15 11 866453
2015 1 30 16 26 866479
2015 1 30 17 28 866507
2015 1 30 18 26 866533
2015 1 30 19 61 866594
2015 1 30 20 63 866657
2015 1 30 21 67 866724
2015 1 30 22 60 866784
2015 1 30 23 46 866830
2015 1 31 0 52 866882
2015 1 31 1 46 866928
2015 1 31 2 34 866962
2015 1 31 3 53 867015
