year month day hour T01 T02 T03 T04 T05 T06 T07 T08 T09 T10 T11 T12 T13 T14 T15 T16
2015 1 12 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 12 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 13 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 13 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 13 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 13 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 13 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 13 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 13 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 13 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 13 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 13 9 NA NA NA NA NA NA NA NA NA NA NA 14561 NA NA NA NA
2015 1 13 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 13 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 13 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 13 13 NA NA NA NA NA NA NA NA NA NA NA 12975 NA NA NA NA
2015 1 13 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 13 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 13 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 13 17 NA NA NA NA NA NA NA NA NA NA NA 13432 NA NA NA NA
2015 1 13 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 13 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 13 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 13 21 NA NA NA NA NA NA NA NA NA NA NA 12255 NA NA NA NA
2015 1 13 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 13 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 14 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 14 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 14 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 14 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 14 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 14 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 14 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
